Country,Birth Rate,CO2 Emissions,Days to Start Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound,labels,Development_Level
Kazakhstan,0.019274584437004937,11.484372449063681,3.174843554717697,10.714894578137717,25.2234240120837,0.038628822043962216,5.442750655422489,0.026417203427590838,0.11607217125275403,0.11332868530700319,4.296761983019193,4.140689737398466,0.5215372793609184,0.22639978249598053,0.5160427600432778,0.06837729744473686,16.55832647963381,0.4351732643937472,20.70658908924484,20.89281385144598,2,Developing
Kenya,0.037295784743696894,9.16484400805523,3.6743513535510264,9.710821910454825,23.883590879491713,0.04372239966039449,3.364639785928358,0.057542955279026746,0.08122543992258587,0.14795570636685543,4.06836907581884,4.023977120071983,0.2444533379009608,0.3573516380065713,0.43412731734284393,0.026567027384721796,17.42468123197799,0.19948117707678095,20.840775331809308,19.009748644558975,0,Under Developed
Kiribati,0.0246926125903715,7.319355375657818,3.38569319512619,9.211593432721392,18.556355857644842,0.09887026872725806,4.874022234934325,0.04871690141252169,0.04512043528046959,0.11332868530700319,4.255067007212594,4.172017600540318,0.03774032798284703,0.3095752731567636,0.47038817068481364,0.03603517132548545,11.427763844656845,0.36180790158892306,19.64962379879649,19.49950887009228,3,Emerging
"Korea, Dem. Rep.",0.015343226837085791,11.112414602755665,3.332204510175204,9.87687107126586,23.518315240553033,0.05921185963184608,5.2390980068880655,0.028587456851912555,0.09531017980432487,0.11332868530700319,4.28411692517192,4.180286992022825,0.30294954458256934,0.21647521344064385,0.519846352833214,0.07367930886216825,16.98915154422713,0.469282215243064,20.418098451510463,19.972489545668473,2,Developing
"Korea, Rep.",0.009874166490436568,11.484372449063681,2.8988824475640733,10.873006206198845,26.239006144556786,0.05863168701422332,6.912819357939159,0.004528193776733441,0.5396373210045363,0.06174616459784136,4.42161710194489,4.336787849195037,0.6214032757011039,0.16844365131246838,0.5426373008665963,0.09173737135211503,17.696787318681576,0.5943462999578201,22.69313930579162,22.230560275933318,1,Highly Developed
Kuwait,0.02130978658675106,11.006474872168603,3.5172695529149096,10.119795486467812,25.27488318198149,0.02731581064696293,6.8413688977560865,0.009950330853168083,0.29725152346793166,0.06535549501582039,4.327692283710552,4.303025051508755,0.5920510636885765,0.22646111901883229,0.5408473509547632,0.028064033652315076,14.72982031361542,0.6841064359077962,20.021621117893094,22.13769902348036,2,Developing
Kyrgyz Republic,0.02281467776617134,8.700667929195184,2.9763141876968895,8.158119769030714,21.968414902160248,0.05841403547347947,3.7576158824657475,0.03231824762903431,0.1022788491204182,0.1999851458413849,4.299898420509324,4.186152111475224,0.36890751237436675,0.2743045292560177,0.490465918253628,0.04996163889704981,15.468646026218758,0.30238120128793006,19.48777590729229,19.315512096338647,3,Emerging
Lao PDR,0.02836316617025007,7.8926818955541185,3.9408347026666917,9.579003173560242,22.186492095882468,0.03751808106560819,3.24918117436353,0.06600379325570643,0.03030534949532895,0.19749432747100495,4.208131018193999,4.168452534375823,0.2262157503511799,0.3336661053127269,0.44901568435351397,0.03633192924739028,15.599440636835938,0.2513571624105252,19.20000562534052,18.068391786180083,0,Under Developed
Latvia,0.009493257637318463,8.925546432542507,2.972384909557,8.551431096775087,23.70177072827143,0.06210768443114145,6.343339528095563,0.010635549198148337,0.38473897759104747,0.08674210997128905,4.36260854881678,4.216108268474643,0.5877866649021191,0.14129922169404513,0.5167312282288192,0.15858041448905966,14.608643613565507,0.517877622943388,20.282850884088962,20.32965328735129,1,Highly Developed
Lebanon,0.014585421405246022,9.667989147203198,3.3512527051458987,8.714251776650295,24.010590785314854,0.08143818324856643,6.300362275210312,0.011776537417622539,0.2076393647782445,0.10919929196499198,4.386822806937374,4.336787849195037,0.325422400434628,0.2338552069091375,0.5060759001278856,0.0748220028873789,15.190988400121444,0.6243328645595857,22.400369587088008,21.938361171647585,1,Highly Developed
Lesotho,0.028587456851912555,8.79668799329491,3.7815638118405936,9.212069645151855,21.106077379064235,0.08129635939355634,4.237445405862774,0.07760186140797766,0.0,0.128393214768399,3.8501476017100584,3.8402791005693047,0.2262157503511799,0.3306310341420131,0.44700069411528814,0.04364876466901333,14.481290455073264,0.20469754185732378,17.085371975577036,19.316454751549927,0,Under Developed
Liberia,0.03877682766844611,7.592288542981701,3.3566290621822787,9.579003173560242,20.548049952408217,0.0880108773227133,3.295836866004329,0.07813556478831422,0.015267472130788436,0.15344713569481763,4.060443010546419,4.030831156499775,0.162903470936853,0.35960909663792934,0.42953213419080166,0.03008144383331205,15.060981863927914,0.38122495724411026,19.682414347583588,19.218187944341057,0,Under Developed
Libya,0.022137756977658966,10.754418913647307,3.35394449681161,9.758866322925,24.648661652567956,0.03358355240132249,5.645990375917484,0.01844423904111761,0.03774032798284703,0.061529189946861754,4.338797900123062,4.290459441148391,0.5661875530986573,0.267557854989488,0.500728666779121,0.0422486686442715,15.553375606518236,0.5714140458321998,19.389709883181315,20.823876629870416,2,Developing
Liechtenstein,0.010711655594927717,9.163563180417254,3.332204510175204,9.579003173560242,22.604313426013192,0.05921185963184608,5.2390980068880655,0.020782539182528502,0.5123629030848772,0.11332868530700319,4.43629626460794,4.374304588579971,0.5618111784988584,0.262364264467491,0.4959150110302365,0.050693114315518116,10.462358007835121,0.13714983814723364,20.418098451510463,19.972489545668473,3,Emerging
Lithuania,0.010026489415331241,9.468857007115982,3.2639962601486703,9.105261867831423,24.10192292236707,0.06268584445302813,6.351556722577667,0.007433838885729134,0.34740130715340317,0.07703226367096844,4.371393378372513,4.21269723617358,0.7636773313657832,0.15535874103617536,0.5197548698947181,0.14009633462037463,15.000153978381327,0.5113485639320215,20.679956778928783,20.500314576085515,1,Highly Developed
Luxembourg,0.011700512025104833,9.22839939863589,3.2461916355151637,8.297486036614727,24.42577013440388,0.0723922153702187,7.195187320178709,0.0026886899239283164,0.5169606123335067,0.11332868530700319,4.423463824538055,4.354734492385874,0.8092193518126993,0.16818362400813647,0.5158131652770298,0.13284846717632198,13.074175378051114,0.6254446849710137,21.997962322016726,21.798215751718406,1,Highly Developed
"Macao SAR, China",0.008578483979991823,7.915263912617285,3.332204510175204,9.579003173560242,23.606109280222682,0.05921185963184608,5.2390980068880655,0.020782539182528502,0.3419517023858385,0.0642019260342562,4.409529553563509,4.351765662892072,0.8395758142932934,0.15423858805112928,0.5653575143886745,0.07060183282443423,13.096082265354939,0.6931471805599453,22.555902683936427,20.53832547064687,1,Highly Developed
"Macedonia, FYR",0.011396352643245075,9.314852835832017,3.111804444806745,8.222574294219319,22.66089781357065,0.07567816732323918,5.530344419383112,0.011092100720307797,0.28575714404219654,0.11976397827623539,4.352756252373768,4.289405144793485,0.4937577152538427,0.17705128301022077,0.5274558033527149,0.10581425885465669,14.55192896507165,0.45435294760488637,18.878105597320356,18.55103402354839,3,Emerging
Madagascar,0.03677690107318381,7.992866581700904,3.13382057537112,9.579003173560242,22.623560281058456,0.0460758610687993,2.8377280244107426,0.05215446193784955,0.0,0.2128911748498584,4.157680437393911,4.113392757192795,0.13641185548987675,0.3674170404706345,0.42325464967166265,0.028587456851912555,16.75462227526943,0.26011321203894716,19.806013106538472,18.975891244159385,0,Under Developed
Malawi,0.04143718986417317,7.744069967627299,3.6314947703329836,9.579003173560242,21.970938318054742,0.07174804686209754,3.0147804685246853,0.06830545578372675,0.0,0.2128911748498584,3.9348376831943175,3.9333327920148973,0.0882926071456783,0.3779621399088716,0.4120077607661202,0.030006797470421422,16.41371484289774,0.1411656390061628,17.652478418788796,18.2042454237897,0,Under Developed
Malaysia,0.01904819497069448,11.484372449063681,3.2639962601486703,10.798690570205055,25.85456087523795,0.0351443688020255,5.481599999821542,0.007281120498138482,0.39515573844930313,0.05855914176409177,4.345801430500399,4.286235570032206,0.5835040031101182,0.2611801317062743,0.5051015803347535,0.043575124255120924,17.086446882996242,0.5152159720672836,22.676735254830977,22.117747742555974,2,Developing
Maldives,0.021836756147634095,7.671038267371974,2.6714926053684125,9.219437330432921,21.07093177435388,0.06506722750157282,5.7647087101078585,0.018972720424449363,0.1497453863593419,0.11785140938722272,4.336787849195037,4.307178743877449,0.6131044728864088,0.29284181497923156,0.4785249120778754,0.0447527206228973,12.624698968762315,0.30033248670838913,20.791643135325057,18.782649351007503,3,Emerging
Mali,0.046810183322387025,7.577082542964824,3.2639962601486703,9.579003173560242,22.592909407745147,0.06290256831156109,3.537609237152032,0.09110554852229297,0.0,0.11332868530700319,3.9644694808006884,3.973190466306133,0.2262157503511799,0.3815401495140027,0.408486181093844,0.030379973576554583,16.334725665946507,0.28436889763691797,19.24181513474226,19.005042753547734,0,Under Developed
Malta,0.009874166490436568,8.187556004073247,3.4011973816621555,7.530603790817939,22.61035616676727,0.07959290238429156,7.060608414065489,0.005982071677547464,0.3582122232576188,0.05477951813390889,4.416985319694851,4.361627675761188,0.6089291014759282,0.15949898945030958,0.5271834103787695,0.12459737207611367,12.910345399053572,0.6616565134685745,20.775128201102273,19.542608841190606,3,Emerging
Marshall Islands,0.0344014267173324,4.529008825022528,2.8903717578961645,3.4446824936018943,18.782189027795603,0.11511280710050457,6.278521424165844,0.0321444533265672,0.0,0.11332868530700317,4.330733340286331,4.248495242049359,0.2876820724517809,0.262364264467491,0.4959150110302365,0.050693114315518116,10.860888237466499,0.5318040301511824,15.53827733427679,18.87557074173323,3,Emerging
Mauritania,0.035812545076931365,7.978680090310639,3.60151836563272,9.579003173560242,21.6943669685924,0.05171628183882078,3.6088367464404,0.07060183282443423,0.007662872745569125,0.18893425998384555,4.143134726391533,4.0943445622221,0.34195170238583855,0.3464769670391979,0.4410302325440038,0.030976765835968284,14.992015315203798,0.43023276478697303,20.418098451510463,19.972489545668473,0,Under Developed
